Harga_Asli,kecamatan,bedroom,bathrooms,jumlah_guest_toilet,list_facilities,lantai,area_digunakan,luas_tanah,latitude,longitude
375000000.0,Krian,2,1,1,"Garasi, AC, Halaman, Tanpa perabotan, Internet, Pemandangan panorama, Listrik",1,72,72,-7.39462226,112.57985037
390000000.0,Sedati,2,1,1,"Garasi, AC, Air, Tanpa perabotan, Fully fenced, Internet, Halaman, Listrik, Teras, Wifi",1,36,72,-7.371738099999999,112.7637334
1470000000.0,Waru,3,3,3,"Garasi, Balkon, Ruang layanan, Air, Sebagian perabotan, AC, Dapur lengkap, Tangki air, Listrik, Teras",2,100,100,-7.3423873,112.7160201
587000000.0,Sidoarjo,2,1,0,"Garasi, Listrik, Wifi, Internet, Tanpa perabotan",1,90,45,-7.44977187,112.70154957
890000000.0,Candi,3,2,2,"Garasi, AC, Pemandangan panorama, Tangki air, Air, Rubanah, Teras, Fully fenced, Internet, Balkon, Halaman, Alarm, Listrik, Tanpa perabotan, Deck, Wifi",2,60,72,-7.4622498,112.6958457
600000000.0,Sedati,2,1,0,"Garasi, Listrik, Air, Tanpa perabotan",1,32,72,-7.38858856,112.80654229
560000000.0,Sukodono,2,1,1,"Garasi, AC, Listrik, Wifi, Internet, Kabel video, Tanpa perabotan",1,36,72,-7.40705114,112.69867659
655500000.0,Buduran,2,1,1,"Garasi, Listrik, Air, Tanpa perabotan",1,45,72,-7.41274316,112.75393019
1150000000.0,Waru,3,2,2,"Garasi, Balkon, Kabel video, Ruang layanan, Gas alam, Ruang kantor, Listrik, Tanpa perabotan, Deck, Wifi, Internet, Dapur lengkap, Halaman, Alarm, Perapian, Air, Rubanah, Teras, Fully fenced",2,180,150,-7.3517813,112.7846068
390000000.0,Sedati,2,1,1,"Dapur lengkap, Tanpa perabotan, Listrik",1,36,72,-7.40573552,112.76139334
758000000.0,Gedangan,2,2,2,"Garasi, AC, Pemandangan panorama, Air, Tanpa perabotan, Internet, Dapur terpadu, Halaman, Listrik",1,56,90,-7.3896762,112.7279598
800000000.0,Sedati,3,2,0,Tidak Ada,1,74,74,-7.3742329,112.7585991
400000000.0,Sedati,2,1,0,Tanpa perabotan,1,39,77,-7.3995145,112.8018209
770000000.0,Waru,3,1,0,Tanpa perabotan,1,110,120,-7.3450183,112.7493425
979000000.0,Sidoarjo,3,3,3,"Garasi, Balkon, Kabel video, Tangki air, Air, Rubanah, Teras, Wifi, Internet, Pemandangan panorama, Halaman, Alarm, Listrik, Tanpa perabotan, Fully fenced",2,85,72,-7.44986429,112.70226136
600000000.0,Sidoarjo,2,1,0,"Garasi, AC, Dapur terpadu, Kabel video, Listrik, Teras, Wifi, Internet, Dapur lengkap, Pemandangan panorama, Gas alam, Berperabot lengkap, Fully fenced",1,84,84,-7.44225619,112.69840669
2500000000.0,Taman,3,2,2,"Garasi, Fully fenced, Tanpa perabotan",2,100,121,-7.374592,112.6395609
500000000.0,Sidoarjo,2,2,0,"Garasi, Air, Halaman, Wifi",2,42,80,-7.4245342,112.6815738
375000000.0,Krian,2,1,1,"Garasi, Pemandangan panorama, Air, Tanpa perabotan, Internet, Halaman, Listrik",1,36,72,-7.40299,112.5873906
5900000000.0,Waru,22,22,2,Berperabot lengkap,2,550,238,-7.3517813,112.7846068
