name,amenity,latitude,longitude,category_group,brand,tourism,highway,railway,public_transport,shop,leisure,sport,aeroway,barrier,kategori_spesifik
SD Negeri Sidodadi 1,school,-7.3825261,112.6469591,sekolah,,,,,,,,,,,SD
SDN Kragan,school,-7.4092182,112.7449026,sekolah,,,,,,,,,,,SD
SDN Sumorame 1,school,-7.4929302,112.7050033,sekolah,,,,,,,,,,,SD
SDN Karang Tanjung,school,-7.4885226,112.6943612,sekolah,,,,,,,,,,,SD
SMPN 5 Sidoarjo,school,-7.4477979,112.7215238,sekolah,,,,,,,,,,,SMP
Poltekkes Surabaaya,school,-7.4493683,112.7059237,sekolah,,,,,,,,,,,Universitas
SMPN 3 Sidoarjo,school,-7.4571094,112.7231024,sekolah,,,,,,,,,,,SMP
SDN Gedangan,school,-7.3884647,112.7308089,sekolah,,,,,,,,,,,SD
SMP Darma Wanita I,school,-7.3907258,112.7276416,sekolah,,,,,,,,,,,SMA/SMK
SDN Kebonsikep I,school,-7.3900123,112.7263739,sekolah,,,,,,,,,,,SD
SDN Masangan Wetan,school,-7.3924623,112.6960831,sekolah,,,,,,,,,,,SD
SDN Sukodono 1,school,-7.4014181,112.6726926,sekolah,,,,,,,,,,,SD
SDN Pekarungan,school,-7.405162,112.6705773,sekolah,,,,,,,,,,,SD
SMP Negeri 1 Sukodono,school,-7.4148243,112.6798838,sekolah,,,,,,,,,,,SMP
SDN Klagen,school,-7.4194823,112.6621393,sekolah,,,,,,,,,,,SD
SDN Kebonagung II,school,-7.421126,112.6731017,sekolah,,,,,,,,,,,SD
SMP / SMA Insan Cendekia Mandiri,school,-7.4303204,112.6815464,sekolah,,,,,,,,,,,SMA/SMK
SDN Cemengkalang,school,-7.4420813,112.686283,sekolah,,,,,,,,,,,SD
SMPK Untung Suropati,school,-7.4471306,112.7097538,sekolah,,,,,,,,,,,SMP
SMP / MA / SMK Walisongo,school,-7.4574532,112.7233785,sekolah,,,,,,,,,,,SMA/SMK
Sekolah Anak Bangsa Indonesia,kindergarten,-7.4507466,112.7170531,sekolah,,,,,,,,,,,TK
SDN Bulang,school,-7.489373,112.596994,sekolah,,,,,,,,,,,SD
SMK YPM 1 Taman,school,-7.3500569,112.6903265,sekolah,,,,,,,,,,,SMA/SMK
SMP YPM 1 Taman ( Area 1 ),school,-7.3491934,112.6887371,sekolah,,,,,,,,,,,SMP
SMK YPM 2 Taman,school,-7.3506975,112.6903947,sekolah,,,,,,,,,,,SMA/SMK
SMA Wachid Hasyim 2 YPM,school,-7.3498706,112.6907723,sekolah,,,,,,,,,,,SMA/SMK
SD Kristen Petra 13,school,-7.3405051,112.7762123,sekolah,,,,,,,,,,,SD
PAUD TK BUNDA,kindergarten,-7.3435666,112.7790645,sekolah,,,,,,,,,,,TK
SMP Negeri 2 Gedangan,school,-7.4029492,112.7011884,sekolah,,,,,,,,,,,SMP
Kampus Utama Politeknik Kelautan dan Perikanan Sidoarjo,university,-7.3975874,112.7898868,sekolah,,,,,,,,,,,Universitas
SMP YPM 1 Taman ( Area 2 ),school,-7.3491021,112.6881973,sekolah,,,,,,,,,,,SMP
SMK YPM 3 Taman,school,-7.3505378,112.6902607,sekolah,,,,,,,,,,,SMA/SMK
Perpustakaan YPM,school,-7.3501113,112.6906611,sekolah,,,,,,,,,,,Lainnya
SMA Wachid Hasyim 2 YPM,school,-7.350537,112.6907577,sekolah,,,,,,,,,,,SMA/SMK
Graha YPM,school,-7.3499491,112.6911976,sekolah,,,,,,,,,,,Lainnya
SMP Negeri 2 Buduran,school,-7.4239526,112.6971086,sekolah,,,,,,,,,,,SMP
SMA Muhammadiyah 1 Taman Sidoarjo,school,-7.3472442,112.7019418,sekolah,,,,,,,,,,,SMA/SMK
SMPN 1 Taman,school,-7.3469179,112.7041225,sekolah,,,,,,,,,,,SMP
SD Muhammadiyah 2 Sidoarjo,school,-7.4569012,112.7156954,sekolah,,,,,,,,,,,SD
SMP Negeri 1 Candi,school,-7.4692792,112.7170846,sekolah,,,,,,,,,,,SMP
SMP Muhammadiyah 2 Taman,school,-7.3442066,112.6965397,sekolah,,,,,,,,,,,SMP
SD Katolik Untung Suropati Sidoarjo II Yayasan Yohanes Gabriel Sidoarjo,school,-7.44722,112.7096911,sekolah,,,,,,,,,,,SD
SMA Hang Tuah 2 Sidoarjo,school,-7.3683883,112.7295814,sekolah,,,,,,,,,,,SMA/SMK
TK Katolik Santo Yusup Yayasan Yohanes Gabriel Santo Yusup Sidoarjo,kindergarten,-7.3550415,112.7558188,sekolah,,,,,,,,,,,TK
SD Katolik Santo Yusup Yayasan Yohanes Gabriel Santo Yusup Sidoarjo,school,-7.3549893,112.7558267,sekolah,,,,,,,,,,,SD
Lembaga Pendidikan Islam Zainuddin Waru,school,-7.3524145,112.7576767,sekolah,,,,,,,,,,,Lainnya
SD Al Falah Darussalam Tropodo,school,-7.3553832,112.7619278,sekolah,,,,,,,,,,,SD
SMP PGRI 9 Sidoarjo,school,-7.4464831,112.6914921,sekolah,,,,,,,,,,,SMP
SMK Senopati,school,-7.3955981,112.7627095,sekolah,,,,,,,,,,,SMA/SMK
SMK YPM 8 Sidoarjo,school,-7.4233177,112.6812763,sekolah,,,,,,,,,,,SMA/SMK
Pusdik Sabhara,university,-7.542491,112.6976055,sekolah,,,,,,,,,,,Universitas
SDN Bligo,school,-7.475104,112.7219621,sekolah,,,,,,,,,,,SD
MI Roudlotul Huda,school,-7.4745062,112.7319628,sekolah,,,,,,,,,,,SD
SDIT Insan Kamil,school,-7.4698024,112.7244495,sekolah,,,,,,,,,,,SD
SMPIT Insan Kamil Sidoarjo,school,-7.4696763,112.7242346,sekolah,,,,,,,,,,,SMP
TKIT INSAN KAMIL,school,-7.4693459,112.7246501,sekolah,,,,,,,,,,,Lainnya
SMK TELKOM SIDOARJO,school,-7.4665361,112.7247999,sekolah,,,,,,,,,,,SMA/SMK
SDN Sekardangan,school,-7.4644393,112.7248408,sekolah,,,,,,,,,,,SD
SDN Gebang 1,school,-7.4689582,112.7306068,sekolah,,,,,,,,,,,SD
SD Islam Wahid Hasyim,school,-7.4640747,112.7218193,sekolah,,,,,,,,,,,SD
SMA Negeri 3 Sidoarjo,school,-7.4624088,112.7223622,sekolah,,,,,,,,,,,SMA/SMK
SMP PGRI 16 Sidoarjo,school,-7.4565719,112.7222936,sekolah,,,,,,,,,,,SMP
SMP Negeri 6 Sidoarjo,school,-7.4515743,112.7363552,sekolah,,,,,,,,,,,SMP
SMA Antartika Sidoarjo,school,-7.4318871,112.7266967,sekolah,,,,,,,,,,,SMA/SMK
SMK Antartika 1 Sidoarjo,school,-7.43331,112.7310071,sekolah,,,,,,,,,,,SMA/SMK
SDN Klurak,school,-7.4814802,112.7295988,sekolah,,,,,,,,,,,SD
SD Negeri Candi,school,-7.4790361,112.7157772,sekolah,,,,,,,,,,,SD
SD Muhammadiyah 1 Sedati,school,-7.3781865,112.7594689,sekolah,,,,,,,,,,,SD
SMA Negeri 1 Sidoarjo,school,-7.435365037538306,112.72209235516027,sekolah,,,,,,,,,,,SMA/SMK
SMP Negeri 1 Sidoarjo,school,-7.4428515633972285,112.70621093271795,sekolah,,,,,,,,,,,SMP
Sekolah Anak Bangsa Indonesia,kindergarten,-7.450817182757442,112.71703367760556,sekolah,,,,,,,,,,,TK
SMA Muhammadiyah 2 Sidoarjo,school,-7.465907040374904,112.71765682935445,sekolah,,,,,,,,,,,SMA/SMK
Universitas Muhammadiyah Sidoarjo,university,-7.467031662952779,112.71716848456205,sekolah,,,,,,,,,,,Universitas
SMA Negeri 2 Sidoarjo,school,-7.461515731363353,112.70389142692954,sekolah,,,,,,,,,,,SMA/SMK
SMPN 2 Wonoayu,school,-7.413492178785758,112.64229308862323,sekolah,,,,,,,,,,,SMP
SDN Becirongengor,school,-7.414155823296346,112.64271140437364,sekolah,,,,,,,,,,,SD
TK Bisma,kindergarten,-7.340743711649404,112.74310008541264,sekolah,,,,,,,,,,,TK
SMP Negeri 1 Gedangan,school,-7.398801493163769,112.7341253787815,sekolah,,,,,,,,,,,SMP
"SD, SMP, SMA Pembangunan Jaya 2",school,-7.3922701318959225,112.73505756972084,sekolah,,,,,,,,,,,SMA/SMK
SDIT El Haq,school,-7.4135930994760715,112.74119410528488,sekolah,,,,,,,,,,,SD
Pondok Pesantren Al Fatah,school,-7.412660236363857,112.73951955325664,sekolah,,,,,,,,,,,Lainnya
SDN Tebel,school,-7.4076252301147,112.72619004724723,sekolah,,,,,,,,,,,SD
SMKN 1 Buduran,school,-7.434241751463881,112.72204250202759,sekolah,,,,,,,,,,,SMA/SMK
SMKN 3 Buduran,school,-7.433999979418291,112.723342040615,sekolah,,,,,,,,,,,SMA/SMK
SMKN 2 Buduran,school,-7.436809451146895,112.72292191522313,sekolah,,,,,,,,,,,SMA/SMK
SDN Banjarsari,school,-7.411799687343977,112.74273713631298,sekolah,,,,,,,,,,,SD
SDN Gemurung,school,-7.405454518701672,112.74684317336624,sekolah,,,,,,,,,,,SD
SDN 1 Punggul,school,-7.399347204761906,112.73166629650794,sekolah,,,,,,,,,,,SD
MAN Sidoarjo,school,-7.437161242774404,112.72353584439225,sekolah,,,,,,,,,,,Lainnya
SDN Sedati Agung,school,-7.3839002519658745,112.76202996525093,sekolah,,,,,,,,,,,SD
SMPN 1 Tanggulangin,school,-7.509119427376245,112.6968363648361,sekolah,,,,,,,,,,,SMP
SMP - SMA Progresif Bumi Sholawat,school,-7.45098039320733,112.66425164159583,sekolah,,,,,,,,,,,SMA/SMK
SMPN 1 Buduran,school,-7.4212566874666726,112.72676556686761,sekolah,,,,,,,,,,,SMP
MINU Pucang,school,-7.443073866707376,112.72011259583675,sekolah,,,,,,,,,,,Lainnya
SMKN 1 Sidoarjo,school,-7.4519868817329,112.72366369135064,sekolah,,,,,,,,,,,SMA/SMK
SMPN 4 Sidoarjo,school,-7.446287499678899,112.68320532750384,sekolah,,,,,,,,,,,SMP
SMAN 4 Sidoarjo,school,-7.44698295,112.68520124999999,sekolah,,,,,,,,,,,SMA/SMK
Universitas PGRI Delta,university,-7.435537316012145,112.72846580275022,sekolah,,,,,,,,,,,Universitas
SDN 1 Pucang,school,-7.443809566297171,112.71895619211834,sekolah,,,,,,,,,,,SD
SDN Pucang 4,school,-7.444752347393856,112.71855545494768,sekolah,,,,,,,,,,,SD
SDN 3 Pucang,school,-7.445028727626134,112.71874241671648,sekolah,,,,,,,,,,,SD
SD Negeri Pepelegi 1,school,-7.366578293636093,112.72341185043248,sekolah,,,,,,,,,,,SD
SD Negeri Pepelegi 2,school,-7.3630595829923635,112.71934395125962,sekolah,,,,,,,,,,,SD
SDN Kebonsikep 2,school,-7.387733293424616,112.72217052347774,sekolah,,,,,,,,,,,SD
SD Raudhatul Jannah,school,-7.363231571170164,112.71893702564354,sekolah,,,,,,,,,,,SD
SMP Raudhatul Jannah,school,-7.364392893276902,112.71848913260297,sekolah,,,,,,,,,,,SMP
SDN Wage II,school,-7.369409884275655,112.70647810836591,sekolah,,,,,,,,,,,SD
SMP Negeri 1 Waru,school,-7.34901770182704,112.7536883230529,sekolah,,,,,,,,,,,SMP
TK Cita Mandiri,school,-7.421928157237804,112.59260162477811,sekolah,,,,,,,,,,,TK
SDK St Yustinus de Yacobis,school,-7.412936618819739,112.57830921639511,sekolah,,,,,,,,,,,Lainnya
SMP Negeri 1 Krian,school,-7.410599188979599,112.57365316182188,sekolah,,,,,,,,,,,SMP
SD Negeri 2 Trosobo,school,-7.378090676780911,112.63039834985915,sekolah,,,,,,,,,,,SD
TK Dharma Wanita Sumput,kindergarten,-7.434361181636726,112.6853238760419,sekolah,,,,,,,,,,,SMA/SMK
Madrasah Ibtidaiyah Nahdlatul Ulama (MINU) Sumput,school,-7.438240083693461,112.68298849759961,sekolah,,,,,,,,,,,SMA/SMK
SDN Sumput,school,-7.435041708473455,112.68521794817121,sekolah,,,,,,,,,,,SD
KOMPLEKS SEKOLAH,school,-7.462503788572171,112.64930550655919,sekolah,,,,,,,,,,,Lainnya
SLB BINA BANGSA,school,-7.348812655057004,112.69068418494821,sekolah,,,,,,,,,,,Lainnya
SMA Al-Islam Krian,school,-7.416095100000001,112.58320079999999,sekolah,,,,,,,,,,,SMA/SMK
SMA Al-Islam Krian,school,-7.415752649999999,112.58314715000002,sekolah,,,,,,,,,,,SMA/SMK
