Harga_Asli,kecamatan,bedroom,bathrooms,jumlah_guest_toilet,lantai,area_digunakan,luas_tanah,latitude,longitude,dist_SD,dist_SMP,dist_SMA_SMK,dist_Universitas,dist_Fasilitas_Kesehatan,dist_Mall,dist_Supermarket,dist_Minimarket,dist_Stasiun,dist_Terminal,dist_Bandara,dist_Halte,dist_Entry_Exit_Tol,road_score,has_exit_tol,AC,Air,Alarm,Balkon,Berperabot lengkap,Dapur lengkap,Dapur terpadu,Deck,Fully fenced,Garasi,Gas alam,Halaman,Halaman terbuka,Internet,Jacuzzi,Jaringan internet,Kabel video,Kitchen set,Lemari pakaian bawaan,Listrik,Pagar penuh,Pemanas ruangan,Pemanasan,Pemandangan panorama,Pendingin ruangan (AC),Perapian,Ruang kantor,Ruang layanan,Rubanah,Sebagian perabotan,Setengah terpisah,Sistem Alarm,TV kabel,Tangki air,Tanpa perabotan,Teras,Wifi,Akses bagi penyandang disabilitas,Angkat,Area anak-anak,BBQ Area,Cctv,Gym,Keamanan,Keamanan 24 jam,Kolam renang,Lapangan tenis,Panggang,Pramutamu,Pustaka,Rumah jaga,Sauna,Spa,Spa dan Sauna,Taman,Taman atap,Taman bermain anak,Tidak Ada
67.5,Gedangan,3,1,0,1,91,91,-7.3917721,112.7306701,0.811598983,1.229690775,1.376210914,4.585753045,1.403435301,3.8173734,0.570550072,1.337333273,1.050606099,6.139768061,4.818852244,1.050606099,81.19501354,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
135,Krembung,4,3,0,1,204,102,-7.5268,112.6637,7.897964305,5.746944314,11.59598382,5.080471132,2.908489209,13.86411006,4.327001334,3.249704829,5.271918747,11.80931862,25.55894965,5.224403821,21.66326364,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
63.1,Tulangan,3,3,3,1,80,90,-7.4812926,112.6468606,6.327984246,6.601769438,5.761219833,8.924023122,6.159100187,9.029788107,6.078539212,3.862833136,1.990336954,9.169755689,21.57939231,1.990336954,16.16631738,4,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0
38.5,Sukodono,2,1,0,1,100,60,-7.394061,112.6738809,0.841154993,2.876635709,3.908649488,5.892745572,0.28135024,8.302342463,3.92263492,1.354024066,6.782730801,8.26127735,11.8866952,6.612823097,19.89886834,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
70,Sidoarjo,2,1,0,2,140,179,-7.4514112,112.6871692,1.270364248,0.96985293,0.78484038,3.353317941,1.434039518,2.390164455,1.867685264,1.865145923,4.155329173,4.770289526,15.66947075,4.055106494,17.3716036,3,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
49.8,Sidoarjo,2,1,1,1,60,62,-7.412324,112.5378369,14.10777388,4.521358592,5.739249833,19.67989096,5.993697625,20.98096278,19.67509937,0.176468657,4.24756786,5.531233316,28.39663801,4.535996651,33.7110068,5,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
60,Buduran,2,1,0,1,36,73,-7.436595,112.694927,2.305282635,1.091080798,3.925477366,3.50384699,4.093047567,2.540693504,3.146910149,25.70403532,5.67407719,6.67435079,15.58889553,4.631210221,27.31766661,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
40,Jabon,2,1,0,1,84,84,-7.5411,112.7309,8.816549207,8.537327982,11.27775911,4.412330286,4.338938784,13.3548178,4.852639587,4.788846933,4.392816793,11.48173925,23.36483344,4.44695813,81.19501354,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
37.5,Krian,2,1,1,1,72,36,-7.4035807,112.5985785,5.541533958,3.20246619,3.073874225,13.27050307,3.226958794,13.44270902,13.02399991,2.028270585,2.40567597,2.453629934,21.56767789,2.360254248,27.3016189,3,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
66.91,Prambon,3,2,0,1,258,258,-7.4734,112.559,4.949826158,7.903281944,7.657034968,20.25139813,7.576843769,19.28824464,16.91253111,9.588243289,6.021374632,8.042328051,30.80916395,5.859262664,25.89243591,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
